[2025-04-30 23:29:26,458 ] 21 root - INFO - Initiate the data ingestion
[2025-04-30 23:29:27,957 ] 64 root - INFO - Performed train test split on the dataframe
[2025-04-30 23:29:27,957 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-30 23:29:27,957 ] 74 root - INFO - Exporting train and test file path.
[2025-04-30 23:29:28,031 ] 83 root - INFO - Exported train and test file path.
[2025-04-30 23:29:28,032 ] 23 root - INFO - Data Initiation Completed
[2025-04-30 23:29:28,041 ] 28 root - INFO - Initiate the data Validation
[2025-04-30 23:29:28,079 ] 32 root - INFO - Required number of columns:2
[2025-04-30 23:29:28,079 ] 33 root - INFO - Data frame has columns:31
[2025-04-30 23:29:28,079 ] 32 root - INFO - Required number of columns:2
[2025-04-30 23:29:28,079 ] 33 root - INFO - Data frame has columns:31
[2025-04-30 23:29:28,240 ] 30 root - INFO - data Validation Completed
[2025-04-30 23:29:28,240 ] 34 root - INFO - data Transformation started
[2025-04-30 23:29:28,241 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-30 23:29:28,241 ] 65 root - INFO - Starting data transformation
[2025-04-30 23:29:28,277 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-04-30 23:29:28,277 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-30 23:29:28,293 ] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-30 23:29:28,298 ] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-30 23:29:28,298 ] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-30 23:29:28,303 ] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-30 23:29:28,304 ] 38 root - INFO - data Transformation completed
[2025-04-30 23:29:28,304 ] 40 root - INFO - Model Training sstared
